Nro. factura;día;fecha;Hora;Cajero;Vendedor;Nro. Documento;Cliente;Medio de Pago;Cod de Artículo;Producto;Categoría;Vr.Costo;Vr.Unitario;Cantidad vendida;Total
53257;viernes; 31 de julio de 2026;8:06 p. m.;cajero 1;Vendedor ;;Ventas Mostrador;Efectivo;1420;MEDIAS ENCAJE MARATHON;ROPA;8500;14500;1.00;14500
53256;viernes; 31 de julio de 2026;7:59 p. m.;cajero 1;Vendedor ;;Ventas Mostrador;Efectivo;3070-2;ROPA INTERIOR NIÑA X 3;ROPA;9000;17000;1.00;17000
53255;viernes; 31 de julio de 2026;7:57 p. m.;cajero 1;Vendedor ;;Ventas Mostrador;Efectivo;2080-1;BODY BLANCO X UNIDAD;ROPA;5000;10000;1.00;10000
53255;viernes; 31 de julio de 2026;7:57 p. m.;cajero 1;Vendedor ;;Ventas Mostrador;Efectivo;1943-1;BODY SUNNOZY X UNIDAD;ROPA;10125;17000;1.00;17000
53254;viernes; 31 de julio de 2026;7:55 p. m.;cajero 1;Vendedor ;;Ventas Mostrador;Efectivo;1998-1;CONJUNTO DE LANA IMPORTADO;ROPA;55000;90000;1.00;90000
53253;viernes; 31 de julio de 2026;7:54 p. m.;cajero 1;Vendedor ;;Ventas Mostrador;Tarjeta Débito;7701021119087;PAÑAL WINNY ULTRATRIM SEC 4X100;PAÑAL;126500;144000;1.00;129600
53252;viernes; 31 de julio de 2026;7:52 p. m.;cajero 1;Vendedor ;;Ventas Mostrador;Efectivo;7701021115140;PAÑAL WINNY ULTRATRIM SEC 2X16;PAÑAL;14119;16000;1.00;16000
53251;viernes; 31 de julio de 2026;7:46 p. m.;cajero 1;Vendedor ;;Ventas Mostrador;Efectivo;7701021114006;PAÑAL WINNY ULTRATRIM SEC 4X30;PAÑAL;38178;42600;1.00;40470
53250;viernes; 31 de julio de 2026;7:29 p. m.;cajero 1;Vendedor ;;Ventas Mostrador;Efectivo;7702277736318;SHAMPOO ARRURRU MANZANILLA X120 NVA PRESENTACION;ASEO;11138;14000;1.00;14000
53249;viernes; 31 de julio de 2026;7:13 p. m.;cajero 1;Vendedor ;;Ventas Mostrador;Nequi;7701021119087;PAÑAL WINNY ULTRATRIM SEC 4X100;PAÑAL;126500;144000;1.00;129600
53248;viernes; 31 de julio de 2026;7:08 p. m.;cajero 1;Vendedor ;;Ventas Mostrador;Tarjeta Débito;1757;PAÑALERA CUNA UNICOLOR / CARTERS;PAÑALERA;65000;160000;1.00;160000
53247;viernes; 31 de julio de 2026;7:06 p. m.;cajero 1;Vendedor ;;Ventas Mostrador;QR Bancolombia;1718;ZAPATO TELA BEBE;CALZADO;10000;25000;1.00;25000
53247;viernes; 31 de julio de 2026;7:06 p. m.;cajero 1;Vendedor ;;Ventas Mostrador;QR Bancolombia;1721;SEMANARIO 14 PIEZAS;ROPA;30000;50000;1.00;50000
53247;viernes; 31 de julio de 2026;7:06 p. m.;cajero 1;Vendedor ;;Ventas Mostrador;QR Bancolombia;1379-1;VESTIDOS MEIQUITOS;ROPA;16000;30000;1.00;30000
